N	Add	Remove
1049	     282.173     	     258.341     
2111	     656.561     	     486.026     
4049	     625.340     	     357.372     
7177	     973.109     	     608.611     
10093	    1203.805     	    1133.954     
13337	    1635.150     	    1239.034     
16033	    1424.437     	    1357.887     
19403	    1949.647     	    1888.213     
23297	    1774.263     	    1725.759     
27743	    1834.661     	    1753.127     
