N	Add	Remove
1049	     273.594     	     259.295     
2111	     665.088     	     491.236     
4049	     551.000     	     373.179     
7177	     879.058     	     579.769     
10093	    1218.171     	    1187.258     
13337	    1638.150     	    1166.754     
16033	    1356.390     	    1277.740     
19973	    2400.240     	    1923.847     
23297	    1315.878     	    1262.652     
27743	    1796.417     	    1728.328     
