N	Add	Remove
1049	       8.580     	       4.766     
2111	       9.000     	       4.737     
4049	       7.409     	       4.446     
7177	       6.549     	       4.180     
10093	       9.115     	       4.161     
13337	       7.123     	       4.274     
16033	       6.611     	       4.304     
19403	       6.906     	       4.175     
23297	       6.396     	       4.207     
27743	       6.560     	       4.253     
