N	Add	Remove
1049	     270.734     	     262.154     
2111	     655.140     	     481.288     
4049	     553.964     	     352.433     
7177	     874.739     	     582.834     
10093	    1188.745     	    1129.198     
13337	    2180.850     	    1656.894     
16033	    1393.813     	    1362.939     
19973	    2336.805     	    2279.427     
23297	    1713.397     	    1738.207     
27743	    1823.595     	    1797.318     
